                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9653,                 4.7289,                 1.7868,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0704,              0.0032889,              0.0032889
                      1,                 2.1338,                  4.394,                 1.9384,                0.12884,                0.00047,                 0.0001,                  5e-05,                 2.8504,                    inf,                 4.1309,               0.040334,              0.0065567,              0.0065567
                      2,                 2.0914,                 4.2861,                 1.8828,                0.12884,                0.00047,                 0.0001,                  5e-05,                    nan,                    nan,                    nan,               0.010203,              0.0097584,              0.0097584
                      3,                 1.9964,                 4.1493,                 1.8209,                0.50765,                0.02136,                0.00933,                0.00589,                 1.8897,                    inf,                 1.5939,               0.009703,               0.009703,               0.009703
                      4,                 1.9371,                  4.066,                 1.7623,                0.19383,                  0.075,                0.01502,                0.00894,                 1.7966,                 6.5797,                 1.5485,               0.009703,               0.009703,               0.009703
                      5,                 1.8141,                 3.9023,                 1.7083,                 0.0052,                0.30297,                0.03376,                0.02559,                  1.802,                 3.8297,                 1.5158,               0.009604,               0.009604,               0.009604
                      6,                 1.8416,                 3.9485,                 1.7265,                0.38712,                0.03769,                 0.0341,                0.02469,                 1.8541,                 12.769,                 1.6327,               0.009505,               0.009505,               0.009505
                      7,                 1.7931,                 3.8596,                 1.6859,                0.41987,                0.06042,                0.04193,                0.02992,                 1.6084,                  3.657,                 1.4229,               0.009406,               0.009406,               0.009406
                      8,                  1.786,                 3.8261,                 1.6947,                0.00235,                0.19942,                0.00528,                0.00387,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                 1.7815,                 3.8157,                 1.6821,                0.00426,                0.33296,                 0.0361,                0.02658,                 1.8468,                 3.8552,                 1.5407,               0.009208,               0.009208,               0.009208
                     10,                 1.7698,                 3.8131,                 1.6672,                0.27213,                0.05658,                0.01835,                0.01283,                 1.6592,                 4.1935,                 1.4857,               0.009109,               0.009109,               0.009109
                     11,                 1.7525,                 3.8132,                 1.6798,                0.28601,                0.04512,                0.04279,                0.03474,                 1.7242,                 4.9901,                 1.5369,                0.00901,                0.00901,                0.00901
                     12,                 1.7141,                 3.7961,                 1.6374,                0.00607,                0.35275,                0.02685,                0.01953,                  1.655,                 3.6635,                 1.4276,               0.008911,               0.008911,               0.008911
                     13,                 1.6463,                 3.7029,                 1.5953,                0.58401,                0.04048,                0.02195,                 0.0159,                 1.6515,                 3.9162,                 1.4718,               0.008812,               0.008812,               0.008812
                     14,                 1.7462,                 3.7896,                 1.6571,                0.29694,                0.05969,                0.05069,                0.03719,                 1.6972,                 3.5531,                 1.4578,               0.008713,               0.008713,               0.008713
                     15,                 1.6944,                 3.7203,                 1.6129,                0.55481,                0.03778,                0.07009,                0.05607,                 1.5793,                 3.4602,                 1.3899,               0.008614,               0.008614,               0.008614
                     16,                 1.6744,                 3.7161,                  1.603,                0.51404,                0.03659,                0.03968,                0.03128,                 1.4808,                 3.4707,                 1.3451,               0.008515,               0.008515,               0.008515
                     17,                 1.6386,                 3.6974,                 1.6005,                0.41312,                0.08928,                0.03192,                0.02126,                 1.6006,                 3.5466,                 1.4019,               0.008416,               0.008416,               0.008416
                     18,                 1.5997,                 3.6042,                   1.57,                0.00755,                0.25057,                0.03013,                0.02393,                 2.0061,                 4.7852,                  3.314,               0.008317,               0.008317,               0.008317
                     19,                 1.5863,                 3.5556,                 1.5194,                0.43874,                0.03012,                0.06786,                0.04714,                 1.5622,                 3.6098,                 1.3941,               0.008218,               0.008218,               0.008218
