                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7164,                 4.5409,                 1.5214,                0.02569,                0.00244,                  2e-05,                  1e-05,                 2.6151,                    inf,                 3.6277,                 0.0704,              0.0032889,              0.0032889
                      1,                 1.8897,                 4.0557,                 1.6639,                0.02621,                0.02224,                0.00036,                  9e-05,                 2.3022,                    inf,                 2.0665,               0.040334,              0.0065567,              0.0065567
                      2,                 1.8531,                 4.0564,                 1.6613,                0.36235,                0.04103,                0.02498,                0.01919,                  2.031,                 17.377,                 1.6634,               0.010203,              0.0097584,              0.0097584
                      3,                 1.7838,                 3.8925,                 1.6035,                0.16886,                0.03363,                 0.0092,                0.00513,                 1.8025,                  18.21,                 1.4884,               0.009703,               0.009703,               0.009703
                      4,                 1.7105,                 3.7485,                  1.568,                0.29889,                0.05239,                0.01213,                0.00873,                 1.7093,                 5.0415,                 1.4267,               0.009703,               0.009703,               0.009703
                      5,                 1.7026,                 3.7237,                  1.561,                0.36877,                0.06326,                0.02274,                0.01544,                 1.7315,                 4.0195,                 1.3621,               0.009604,               0.009604,               0.009604
                      6,                 1.6746,                 3.6624,                 1.5468,                0.30668,                0.05868,                0.03569,                0.02252,                 1.7257,                  3.964,                 1.3884,               0.009505,               0.009505,               0.009505
                      7,                 1.6373,                 3.6044,                 1.5119,                0.34308,                0.06369,                0.02274,                0.01556,                 1.6338,                 3.8776,                 1.3539,               0.009406,               0.009406,               0.009406
                      8,                 1.5951,                 3.5975,                 1.4926,                 0.2268,                0.08104,                0.02586,                 0.0189,                 1.6476,                 3.8445,                  1.353,               0.009307,               0.009307,               0.009307
                      9,                 1.6024,                 3.5462,                 1.4897,                 0.4173,                0.09624,                0.03902,                0.02719,                 1.5794,                 3.4957,                 1.3347,               0.009208,               0.009208,               0.009208
                     10,                 1.5244,                 3.4575,                 1.4494,                0.48901,                0.06328,                0.04175,                0.02882,                 1.5693,                  3.523,                 1.3213,               0.009109,               0.009109,               0.009109
                     11,                 1.5613,                 3.4963,                 1.4673,                0.38892,                0.08587,                0.04941,                0.03574,                 1.5906,                 3.4883,                 1.3111,                0.00901,                0.00901,                0.00901
                     12,                 1.4794,                 3.4337,                  1.424,                0.39032,                0.06696,                 0.0419,                0.03214,                 1.4803,                 3.5008,                 1.2858,               0.008911,               0.008911,               0.008911
                     13,                 1.4695,                 3.3831,                 1.4105,                0.41919,                0.08614,                0.04061,                 0.0277,                 1.5578,                 3.3753,                  1.308,               0.008812,               0.008812,               0.008812
                     14,                 1.5189,                 3.4051,                 1.4413,                0.43669,                0.07983,                0.04113,                0.02995,                 1.4468,                 3.2735,                 1.2763,               0.008713,               0.008713,               0.008713
                     15,                 1.4575,                 3.3448,                 1.4056,                 0.5777,                0.06546,                0.06285,                0.04408,                 1.4395,                 3.2128,                 1.2447,               0.008614,               0.008614,               0.008614
                     16,                 1.4474,                 3.3294,                 1.3879,                0.52532,                0.06871,                0.04802,                0.03536,                 1.4773,                 3.2704,                 1.2648,               0.008515,               0.008515,               0.008515
                     17,                 1.4818,                 3.3195,                 1.4233,                0.32671,                0.13725,                0.04101,                0.02752,                 1.5052,                 3.2895,                 1.2795,               0.008416,               0.008416,               0.008416
                     18,                 1.4253,                 3.2542,                 1.3864,                0.46595,                0.04742,                0.04394,                0.03533,                  1.495,                 3.4625,                 1.2732,               0.008317,               0.008317,               0.008317
                     19,                 1.4483,                 3.2571,                 1.3967,                0.49596,                0.09319,                0.06952,                0.05174,                 1.4491,                 3.2727,                 1.2635,               0.008218,               0.008218,               0.008218
                     20,                 1.4212,                 3.2547,                 1.3929,                 0.4984,                0.12594,                0.08595,                0.06943,                 1.3752,                 3.1263,                 1.2494,               0.008119,               0.008119,               0.008119
                     21,                  1.427,                 3.2121,                 1.3829,                0.42091,                0.11874,                0.10192,                0.07486,                 1.3695,                 3.2078,                 1.2094,                0.00802,                0.00802,                0.00802
                     22,                 1.4207,                 3.2273,                 1.3891,                0.54545,                0.06315,                0.06709,                0.05231,                  1.408,                 3.2866,                 1.2401,               0.007921,               0.007921,               0.007921
                     23,                 1.3645,                 3.2018,                 1.3583,                0.42076,                0.11761,                0.05515,                 0.0417,                 1.4154,                 3.2768,                  1.257,               0.007822,               0.007822,               0.007822
                     24,                 1.3991,                 3.2031,                 1.3698,                0.35261,                0.13408,                  0.085,                0.06835,                 1.3775,                 3.1795,                 1.2234,               0.007723,               0.007723,               0.007723
                     25,                  1.391,                 3.1797,                 1.3635,                0.61189,                0.05791,                0.06321,                0.05012,                 1.4219,                 3.1741,                 1.2438,               0.007624,               0.007624,               0.007624
                     26,                 1.4002,                 3.1498,                 1.3805,                0.39123,                0.13506,                0.08594,                0.06483,                 1.3491,                 3.2412,                 1.1947,               0.007525,               0.007525,               0.007525
                     27,                 1.3888,                 3.1527,                 1.3699,                0.37048,                0.09922,                 0.0768,                0.06162,                 1.4088,                 3.0877,                 1.2187,               0.007426,               0.007426,               0.007426
                     28,                 1.3773,                 3.1473,                 1.3754,                0.43907,                0.08903,                0.08366,                0.06492,                 1.4059,                 3.0726,                 1.2395,               0.007327,               0.007327,               0.007327
                     29,                 1.3707,                 3.1116,                 1.3656,                0.44035,                0.08337,                0.07286,                0.05617,                 1.3801,                 3.3957,                  1.228,               0.007228,               0.007228,               0.007228
                     30,                 1.3338,                 3.1008,                 1.3423,                0.45155,                0.09702,                0.11309,                0.09337,                 1.3754,                  3.056,                 1.2398,               0.007129,               0.007129,               0.007129
                     31,                 1.3388,                 3.0866,                 1.3392,                0.43447,                 0.1262,                0.11546,                0.08906,                 1.3752,                 3.1079,                 1.2105,                0.00703,                0.00703,                0.00703
                     32,                 1.3433,                 3.0588,                  1.338,                0.42938,                0.10465,                0.07458,                0.05635,                 1.3344,                 3.2302,                  1.213,               0.006931,               0.006931,               0.006931
                     33,                 1.3346,                 3.0611,                 1.3383,                0.36878,                0.12737,                0.09045,                0.06797,                 1.3993,                 3.0642,                 1.2297,               0.006832,               0.006832,               0.006832
                     34,                 1.3364,                 3.0271,                 1.3248,                0.32376,                0.10529,                0.05491,                0.04208,                 1.3854,                 3.0964,                  1.224,               0.006733,               0.006733,               0.006733
                     35,                 1.3404,                 3.0514,                 1.3372,                0.31499,                0.13309,                0.07855,                0.06524,                 1.3373,                 3.0329,                 1.2025,               0.006634,               0.006634,               0.006634
                     36,                 1.3527,                 3.0751,                 1.3559,                0.34398,                0.13253,                 0.0593,                0.04344,                 1.3784,                 3.0834,                 1.2161,               0.006535,               0.006535,               0.006535
                     37,                 1.3137,                 3.0046,                 1.3095,                0.39874,                0.11434,                0.06604,                0.04851,                 1.3617,                 3.2883,                  1.223,               0.006436,               0.006436,               0.006436
                     38,                 1.3215,                  2.987,                 1.3271,                0.37778,                0.16719,                0.08611,                0.06701,                 1.3446,                 3.1059,                 1.2061,               0.006337,               0.006337,               0.006337
                     39,                 1.3258,                 3.0206,                 1.3331,                 0.3227,                 0.1192,                0.08283,                0.06536,                 1.3361,                 3.0452,                 1.2116,               0.006238,               0.006238,               0.006238
                     40,                 1.2962,                 2.9472,                 1.3025,                0.43862,                0.09808,                0.08115,                0.06647,                 1.3588,                 3.1546,                 1.2089,               0.006139,               0.006139,               0.006139
                     41,                 1.3178,                 2.9808,                 1.3163,                0.43495,                0.10284,                0.10653,                0.08167,                 1.3326,                 2.9437,                 1.2224,                0.00604,                0.00604,                0.00604
                     42,                 1.3171,                 2.9543,                 1.3266,                0.36411,                0.12241,                0.10322,                0.08546,                 1.3499,                 3.0114,                 1.1987,               0.005941,               0.005941,               0.005941
