                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.162,                 5.1942,                 1.2597,                0.35224,                0.06292,                0.04424,                0.03639,                 1.1026,                 3.8221,                 1.1022,                 0.0704,              0.0032889,              0.0032889
                      1,                 1.0624,                 3.3987,                 1.1671,                0.36157,                0.08999,                0.08566,                0.06398,                 1.1274,                 3.1379,                 1.0327,               0.040334,              0.0065567,              0.0065567
                      2,                 1.0859,                 3.1927,                 1.1449,                0.27169,                0.17871,                0.05457,                0.03625,                 1.2368,                 3.6436,                 1.0807,               0.010203,              0.0097584,              0.0097584
                      3,                 1.1632,                 3.0218,                 1.1584,                0.23956,                0.11522,                0.07333,                0.06045,                 1.2815,                 3.3636,                 1.0885,               0.009703,               0.009703,               0.009703
                      4,                 1.1915,                 2.8951,                 1.1693,                0.40734,                0.10997,                0.09041,                0.06991,                 1.3149,                 3.2359,                 1.1397,               0.009703,               0.009703,               0.009703
                      5,                 1.2011,                 2.7804,                 1.1861,                0.37386,                0.10083,                0.04978,                0.03447,                 1.3543,                 3.5333,                 1.1828,               0.009604,               0.009604,               0.009604
                      6,                 1.1935,                 2.6815,                 1.1786,                0.23164,                0.15975,                0.06894,                0.05241,                 1.3294,                 3.3174,                 1.1472,               0.009505,               0.009505,               0.009505
                      7,                 1.1789,                 2.5989,                 1.1631,                0.26852,                0.08296,                0.04273,                0.02822,                 1.3043,                 3.4991,                 1.1063,               0.009406,               0.009406,               0.009406
                      8,                 1.1522,                 2.5085,                 1.1484,                0.19812,                0.11646,                0.07485,                0.05524,                  1.281,                 3.0299,                 1.0853,               0.009307,               0.009307,               0.009307
                      9,                  1.173,                  2.358,                  1.156,                0.27237,                0.13086,                0.10999,                0.07974,                 1.2068,                 2.8197,                 1.0781,               0.009208,               0.009208,               0.009208
                     10,                 1.1313,                 2.3296,                 1.1437,                0.41899,                0.12667,                0.11175,                0.08234,                 1.2819,                 2.9305,                 1.0964,               0.009109,               0.009109,               0.009109
                     11,                 1.1377,                 2.3417,                 1.1386,                0.29188,                 0.1559,                0.09116,                0.07151,                 1.2961,                 2.9397,                 1.0997,                0.00901,                0.00901,                0.00901
                     12,                 1.1012,                 2.1993,                 1.1241,                0.31021,                0.13411,                0.09519,                0.07069,                 1.2053,                 2.9687,                 1.0578,               0.008911,               0.008911,               0.008911
